IUPAC,ion1,ion2,density,temperature,pressure
1-butyl-3-methylimidazolium glycinate,[N][C][C][=Branch1][C][=O][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1120.6,283.15,101
1-butyl-3-methylimidazolium methyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring1][O][C][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1218.75,283.15,100
1-butyl-3-methylimidazolium methyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring1][O][C][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1218.75,283.15,101.325
1-butyl-3-methylimidazolium nitrate,[N+1][=Branch1][C][=O][Branch1][C][O-1][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1166.3,283.15,101.325
1-butyl-3-methylimidazolium octyl sulfate,[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][#Branch2][O][C][C][C][C][C][C][C][C][O-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1077.3,283.15,101.325
1-butyl-3-methylimidazolium tetrafluoroborate,[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1213.68,283.15,100
1-butyl-3-methylimidazolium tetrafluoroborate,[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1213.68,283.15,101
1-butyl-3-methylimidazolium tetrafluoroborate,[F][B-1][Branch1][C][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1213.68,283.15,101.325
1-butyl-3-methylimidazolium thiocyanate,[S-1][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1078.9,283.15,100
1-butyl-3-methylimidazolium thiocyanate,[S-1][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1078.9,283.15,101.325
1-butyl-3-methylimidazolium tricyanomethane,[C][#Branch1][C][#N][C][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1057.653333,283.15,100
1-butyl-3-methylimidazolium tricyanomethane,[C][#Branch1][C][#N][C][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1057.653333,283.15,101.325
1-butyl-3-methylimidazolium trifluoromethanesulfonate,[F][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1309.5325,283.15,101
1-butyl-3-methylimidazolium trifluoromethanesulfonate,[F][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1309.5325,283.15,101.325
"1-butyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",[F][C][Branch2][Ring1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C],1429.433333,283.15,101.325
1-butyl-3-methylpyridinium dicyanamide,[N-1][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C],1058.4,283.15,100
