IUPAC,ion1,ion2,density
1-butyl-1-methylpyrrolidinium tetracyanoborate,[C][#Branch1][C][#N][B-1][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][C][#N],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],976.4
1-ethyl-3-methylimidazolium tetracyanoborate,[C][#Branch1][C][#N][B-1][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][C][#N],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1036.35
trihexyltetradecylphosphonium tetracyanoborate,[C][#Branch1][C][#N][B-1][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][C][#N],[C][Branch1][=Branch1][C][C][C][C][C][P+1][Branch1][#C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][C][C][C][C],891.05
1-hexyl-3-methylimidazolium tetracyanoborate,[C][#Branch1][C][#N][B-1][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][C][#N],[C][Branch1][=Branch1][C][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],990.18
1-decyl-3-methyl-1H-imidazolium tetracyanoborate,[C][#Branch1][C][#N][B-1][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][C][#N],[C][Branch1][#Branch2][C][C][C][C][C][C][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],962.51
1-(3-azido-2-bromopropyl)-3-methyl-3H-imidazol-1-ium bromide,[Br-1],[N][=Branch1][Ring1][=N+1][=N-1][C][C][Branch1][N][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][Br],1340
1-(2-azido-3-bromopropyl)-3-methyl-3H-imidazol-1-ium bromide,[Br-1],[N][=Branch1][Ring1][=N+1][=N-1][C][Branch1][N][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][Br],1325
1-(2-azido-3-bromopropyl)-3-vinyl-3H-imidazol-1-ium bromide,[Br-1],[N][=Branch1][Ring1][=N+1][=N-1][C][Branch1][=N][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][=C][C][Br],1360
1-methyl-1-pentylpyrrolidinium bromide,[Br-1],[C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C][C][C][C][C],1188.96
1-methyl-1-propylpyrrolidinium bromide,[Br-1],[C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C][C][C],1260
1-methyl-3-nonylimidazolium bromide,[Br-1],[C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C][C],1147.53
1-methyl-3-octylimidazolium bromide,[Br-1],[C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C],1173.04
1-methyl-3-propylimidazolium bromide,[Br-1],[C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C],1316.2
1-butyl-3-dodecyl-1H-imidazolium bromide,[Br-1],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C][C][C][C][C],1056
1-butyl-3-octyl-1H-imidazolium bromide,[Br-1],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C],1119.7
1-butyl-3-hexyl-1H-imidazolium bromide,[Br-1],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C],1145.5
1-butyl-3-(2-cyanoethyl)-1H-imidazolium bromide,[Br-1],[C][Branch1][Ring2][C][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][#N],1304.7
1-butyl-1-methylpyrrolidinium bromide,[Br-1],[C][Branch1][Ring2][C][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C],1221.2
"1,3-dibutylimidazolium bromide",[Br-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C],1193.8
1-butyl-3-ethylimidazolium bromide,[Br-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C],1259.266667
1-butyl-3-methylimidazolium bromide,[Br-1],[C][Branch1][Ring2][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1300
tetrapropylammonium bromide,[Br-1],[C][Branch1][Ring1][C][C][N+1][Branch1][Ring2][C][C][C][Branch1][Ring2][C][C][C][C][C][C],1170
1-allyl-3-vinylimidazolium bromide,[Br-1],[C][Branch1][Ring1][C][=C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][=C],1210
1-allyl-3-methylimidazolium bromide,[Br-1],[C][Branch1][Ring1][C][=C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1170
3-dodecyl-1-ethyl-1H-imidazolium bromide,[Br-1],[C][Branch1][N][C][C][C][C][C][C][C][C][C][C][C][N][C][NH1+1][Branch1][Branch1][C][=C][Ring1][Branch1][C][C],1081
1-ethyl-3-octyl-1H-imidazolium bromide,[Br-1],[C][Branch1][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C],1145.4
1-ethyl-3-hexyl-1H-imidazolium bromide,[Br-1],[C][Branch1][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C],1194
"1,3-diethyl-1H-imidazolium bromide",[Br-1],[C][Branch1][C][C][NH1+1][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C][C],1351.2
1-pentyl-3-methylimidazolium bromide,[Br-1],[C][Branch1][Branch1][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1259.865
tetradecyltrihexylphosphonium bromide,[Br-1],[C][Branch1][=C][C][C][C][C][C][C][C][C][C][C][C][C][C][P+1][Branch1][#Branch1][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][C][C][C][C],956.9
3-hexyl-1-methyl-1H-imidazolium bromide,[Br-1],[C][Branch1][=Branch1][C][C][C][C][C][N][C][NH1+1][Branch1][Branch1][C][=C][Ring1][Branch1][C],1224.4375
1-decyl-3-methylimidazolium bromide,[Br-1],[C][Branch1][#Branch2][C][C][C][C][C][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1128.2
1-heptyl-3-methylimidazolium bromide,[Br-1],[C][Branch1][#Branch1][C][C][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1195.86
3-(2-cyanoethyl)-1-octyl-1H-imidazolium bromide,[Br-1],[C][#Branch1][C][#N][C][C][N][C][NH1+1][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C][C][C],1176.6
3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,[Br-1],[C][#Branch1][C][#N][C][C][N][C][NH1+1][Branch1][Branch1][C][=C][Ring1][Branch1][C][C][C][C][C][C],1229.733333
